No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
23,AP023,Misoa,10,345,8.5,2.2,78,0.5,1.3,52,120,8.7,3064,44,0.08,-,-,-,-,-,0.02,0.2,-,100,Olahan,Serealia,KZGPI-1990,Utama
24,AP024,Roti putih,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91,0.15,0.9,-,-,-,0.1,0.29,2.4,-,100,Olahan,Serealia,DABM-1964,Snack
29,AP029,Biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,-,14,-,0.09,0.15,1.4,-,100,Olahan,Serealia,DABM-1964,Snack
30,AP030,"Bakpia, kue",38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,-,-,-,-,-,-,1392,0.31,1,2.9,-,100,Olahan,Serealia,KZGPI-1990,Snack
31,AP031,Bakwan,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7,-,-,-,-,-,-,-,0.08,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
34,AP034,Batar daan,75.3,107,2.2,2.2,19.6,-,0.7,20,30,0.6,200,90,0.1,-,-,-,-,0.18,0.02,-,-,100,Olahan,Serealia,KZGMI-2001,Utama
35,AP035,Bika ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,-,-,-,-,-,-,408,0.1,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
39,AP039,Brem,37.4,249,3.4,0.4,58,-,0.9,198,86,2,-,-,-,-,-,-,240,0.34,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
40,AP040,Bubur tinotuan (Manado),80.9,156,2.3,0.2,15.6,8.2,1,41,20,0.4,486,164,0.3,0.4,-,1437,-,0.1,0.04,-,15,100,Olahan,Serealia,KZGMI-2001,Utama
41,AP041,Cake tape,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,-,-,-,-,26,-,1872,0.38,0.16,0.3,-,100,Olahan,Serealia,KZGMI-2001,Snack
