No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
251,CP007,"Kacang kedelai, rebus",56.8,189,20.2,8.2,12.7,1.6,2.1,91,270,3.9,181,615,1.3,3.7,-,4,15,0.2,0.04,0.5,-,100,Olahan,Kacang,KZGPI-1990,Snack
252,CP008,"Kacang merah kering, rebus",59.6,158,10.3,0.9,28.2,2.6,1,160,149,3.7,6,311,0.27,1.5,-,-,-,0.2,0.09,0.8,-,100,Olahan,Kacang,KZGPI-l990,Snack
253,CP009,"Kacang merah segar, rebus",63.1,144,10,1,24.7,3.5,1.2,144,150,2.8,6,311,0.27,1.5,-,-,-,0.1,0.08,0.7,-,100,Olahan,Kacang,KZGPI-l990,Snack
254,CP010,"Kacang mete/biji jambu monyet, goreng",1,629,20.4,56.3,19.8,1.1,2.5,502,493,8,13,641.7,4.7,5.4,-,5,-,0.37,0.22,1.8,-,100,Olahan,Kacang,KZGPI-1990,Snack
255,CP011,Kacang tanah rebus dg kulit,40.2,360,13.5,31.2,12.8,-,2.3,42,177,1.4,32,483,1.6,2,-,-,-,0.44,0.13,9,5,43,Olahan,Kacang,DABM-1964,Snack
256,CP012,"Kacang tanah, goreng",2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,-,-,-,-,-,-,-,0.4,-,-,-,100,Olahan,Kacang,KZGPI-l990,Snack
257,CP013,"Kacang tanah, rebus",62.1,220,10.6,18,8,1,1.3,89,273,1.9,36,536.2,1.78,2.2,-,-,-,0.1,-,-,-,100,Olahan,Kacang,KZGPI-l990,Snack
258,CP014,"Kacang tolo / tunggak, rebus",64.4,138,10.7,1.1,22.6,0.9,1.2,165,172,4,13,6.7,0.8,6.1,-,-,-,0.01,0.17,3.2,-,100,Olahan,Kacang,KZGPI-l990,Snack
261,CP017,Ampas tahu kukus,82.5,75,4.1,2.1,10.7,5.1,0.6,203,60,1.3,-,-,-,-,-,-,-,0.07,-,-,-,100,Olahan,Kacang,KZGPI-1990,Utama
263,CP019,Pepes oncom ampas tahu,80.9,76,5.2,1.8,10.6,2.2,1.5,215,66,12.5,-,-,-,-,-,-,268,0.11,-,-,-,100,Olahan,Kacang,KZGPI-1990,Utama
267,CP023,Dodol banjarmasin,17.3,368,2.6,8.6,70,0.5,1.5,51,180,3.3,48,96,0.4,2.6,-,-,-,0.04,0.07,2.3,-,100,Olahan,Kacang,KZGMI-2001,Snack
268,CP024,Emping (kerupuk melinjo),13,345,12,1.5,71.5,-,28,100,400,5,-,-,-,-,-,-,-,0.2,-,-,-,100,Olahan,Kacang,DABM-1964,Snack
269,CP025,Emping komak,14.2,355,17.8,4.6,60.7,-,2.7,87,304,4.3,24,1233,1,2.3,-,-,-,-,-,0.6,-,100,Olahan,Kacang,KZGMI-2001,Snack
270,CP026,Enting-enting gepuk hello kity,2.4,538,13.6,30.3,52.6,0.2,1,81,248,1.6,-,-,-,-,-,-,202,1,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
271,CP027,Enting-enting gepuk kacang tanah,4.2,524,13.3,29.2,52,0.2,1.4,76,248,1.4,-,-,-,-,-,-,272,0.62,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
272,CP028,Enting-enting wijen,3.7,565,18.2,38.4,36.8,1.9,3,251,502,10.9,-,-,-,-,-,-,240,0.92,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
273,CP029,Geplak,29.6,350,1.4,14.4,53.6,1.8,1,151,43,2.1,-,-,-,-,-,-,120,0.12,0.02,0.8,-,100,Olahan,Kacang,KZGMI-2001,Snack
274,CP030,Geplak jahe,12.4,462,3.1,24.4,57.7,3.3,2.5,212,161,6.6,-,-,-,-,-,-,272,0.12,-,0.1,-,100,Olahan,Kacang,KZGMI-2001,Snack
275,CP031,Kacang atom,3.1,533,27.8,38.1,28.8,2.5,2.2,87,423,3,-,-,-,-,-,-,-,0.06,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
276,CP032,Kacang goyang,8.3,516,14.7,31.1,44.4,-,1.5,34,230,0.7,2,365,0.6,1.7,-,-,-,-,-,-,-,100,Olahan,Kacang,KZGMI-2001,Snack
277,CP033,Kacang negara,3.1,480,18.4,19.1,58.5,11.7,0.9,34,404,10.3,1010,385,2.5,7.1,-,-,-,0.63,0.05,2.6,-,100,Olahan,Kacang,KZGMI-2001,Snack
278,CP034,Kacang sukro,4.7,484,8.8,26.1,57.7,1.8,2.7,49,194,2.5,-,-,-,-,-,-,-,0.06,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
279,CP035,Kacang tanah sari,2.1,561,25.5,43.8,26,2.2,2.6,50,324,3.1,-,-,-,-,-,-,-,0.08,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
280,CP036,Keju kacang tanah (peanut butter),3,590,27,49,20.9,1.6,0.1,60,360,2,355,492.4,0.57,2.7,-,-,-,0.3,0.2,16.2,-,100,Olahan,Kacang,DABM-1964,Snack
281,CP037,Kembang tahu,10.8,380,48.9,13.8,23.3,-,3.2,378,781,2.1,55,455.3,0.68,4.2,-,-,-,0.15,0.08,0.7,-,100,Olahan,Kacang,KZGPI-1990,Snack
283,CP039,Keripik oncom,3,598,8.3,43.8,42.6,3.3,2.2,85,153,27,-,-,-,-,-,-,1608,1.13,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
284,CP040,Keripik tempe,3.3,581,12.1,40.6,41.7,2.2,2.3,237,116,6.9,-,-,-,-,-,-,320,0.35,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
285,CP041,Keripik tempe abadi besar,4.5,556,15.8,37.1,39.8,3.5,2.8,112,215,5.4,-,-,-,-,-,-,-,0.63,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
286,CP042,Keripik tempe abadi murni,3.2,542,40.3,42.4,11.6,2.2,2.7,175,529,5.2,-,-,-,-,-,-,50,0.1,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
287,CP043,Keripik tempe abadi sedang,4.4,510,12.3,27.9,52.4,3.6,3.1,122,211,8.4,-,-,-,-,-,-,-,0.52,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
288,CP044,Keripik tempe abadi telur,4.5,529,20.8,31.7,40.2,3,2.9,124,222,5.4,-,-,-,-,-,-,-,0.86,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
289,CP045,Keripik tempe abadi prima,4.8,540,16.7,33.9,42,2.2,2.6,92,184,3.2,-,-,-,-,-,-,1080,0.38,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
290,CP046,Kwaci,9.9,515,30.6,42.1,13.8,13.6,3.7,54,312,6.2,124,448.6,0.65,9.7,-,-,-,0.02,0.19,0.3,-,35,Olahan,Kacang,DABM-1964,Snack
294,CP050,Moon tahu,79.9,128,8,10,1.3,0.2,0.8,205,92,2.5,393,-,-,-,131,-,5300,0.46,-,-,-,100,Olahan,Kacang,KZGMS-1993,Utama
295,CP051,Oncom,57,187,13,6,22.6,-,1.4,96,115,27,-,-,-,-,-,-,-,0.09,-,1.6,-,100,Olahan,Kacang,DABM-1964,Utama
296,CP052,Oncom ampas kacang hijau,13.4,376,14.9,6,65.7,12.3,1.7,199,110,10.9,-,-,-,-,-,-,-,0.03,-,-,-,100,Olahan,Kacang,KZGPI-1990,Utama
297,CP053,Oncom kacang hijau + singkong,16.5,351,11,5.3,65.9,9,1.3,164,113,7.8,-,-,-,-,-,-,-,0.01,-,-,-,100,Olahan,Kacang,KZGPI-1990,Utama
298,CP054,Oncom kacang tanah pepes,65,132,12.7,3.8,13.7,3.1,4.8,133,355,34.4,-,-,-,-,-,-,10,0.08,0.2,0.7,-,100,Olahan,Kacang,KZGPI-1990,Utama
299,CP055,Rempeyek kacang tanah,3.9,513,17.5,32.5,44.3,1.7,1.8,65,202,2.6,-,-,-,-,-,-,-,0.1,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
300,CP056,Rempeyek kacang tolo,6.1,451,11.2,20.2,59.7,1.8,2.8,156,221,4.6,-,-,-,-,-,-,-,0.02,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
301,CP057,Rempeyek kacang uci,4,497,17,27.6,50.8,2.4,3.4,166,89,6.7,-,-,-,-,-,-,-,0.05,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
302,CP058,Sayur lebui,83.9,64,2.1,0.6,12.5,5.7,0.9,21,2,1,124,146,0.2,0.7,-,14,-,-,-,0.1,-,100,Olahan,Kacang,KZGMI-2001,Utama
304,CP060,Susu kedelai,87,41,3.5,2.5,5,0.2,2,50,45,0.7,128,287.9,0.12,1,-,-,200,0.08,0.05,0.7,2,100,Olahan,Kacang,DABM-1964,Semua
306,CP062,Tahu goreng,77.3,115,9.7,8.5,2.5,0.1,2,229,200,4.1,7,68.2,0.09,1.3,-,-,-,0.01,0.24,-,-,100,Olahan,Kacang,KZGPI-1990,Utama
307,CP063,Tahu telur,41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755,-,-,-,73,-,1860,0.42,-,-,-,100,Olahan,Kacang,KZGMS-1993,Utama
308,CP064,Takwa,72.2,148,13.8,8.5,4,-,1.6,140,214,8.5,3,79,0.3,1.3,-,-,920,0.2,0.1,0.8,-,100,Olahan,Kacang,KZGPI-1990,Snack
327,CP083,Tempe pasar goreng,42.9,336,20,28,7.8,3.4,1.3,156,350,3,20,566.2,0.8,2.2,-,-,10,0.1,0.5,3,-,100,Olahan,Kacang,KZGPI-1990,Semua
383,DP001,"Bayam, kukus",90.7,30,1.3,0.7,5.8,1.2,1.6,239,35,5.7,15,431,0.1,0.3,-,2699,3750,0.02,0.1,0.9,32,100,Olahan,Sayur,KZGPI-1990,Utama
384,DP002,"Bayam, rebus",93.5,23,1.2,0.6,3.7,1.1,1,150,35,0.5,16,308.4,0.2,0.3,-,3282,2864,0.02,0.1,0.9,19,100,Olahan,Sayur,KZGPI-1990,Utama
385,DP003,"Buncis, rebus",90.6,30,2.2,0.2,6.4,1.5,0.6,107,47,0.5,7,138.9,0.1,0.3,-,1,402,0.01,0.29,2,8,100,Olahan,Sayur,KZGPI-1990,Utama
386,DP004,"Daun kacang panjang, kukus",87.2,40,3.7,0.3,8,1.8,0.8,111,66,3.7,6,419.5,0.2,0.3,-,2645,5781,0.15,0.2,0.9,11,100,Olahan,Sayur,KZGPI-1990,Utama
387,DP005,"Daun katuk, rebus",83.3,53,5.3,0.9,9.1,1.2,1.4,185,102,3.1,16,291.3,0.3,1.3,-,11131,9000,-,0.3,2.2,66,100,Olahan,Sayur,KZGPI-1990,Utama
388,DP006,"Daun kelor, rebus",80.3,61,6.1,0.9,10,0.9,2.6,255,36,2.1,45,181.2,0.1,0.6,-,3972,6071,0.1,0.1,4,13,100,Olahan,Sayur,KZGPI-1990,Utama
389,DP007,"Daun mengkudu, kukus",81.6,63,3.8,1.5,11.5,2.4,1.6,300,43,6,-,-,-,-,-,2,4900,0.08,0.1,5.2,11,100,Olahan,Sayur,KZGPI-1990,Utama
390,DP008,"Daun singkong, rebus",90.5,31,3.7,0.6,4.8,1.6,0.4,160,50,2.6,13,14,0.1,2,-,3897,4150,0.02,0.1,1.7,34,100,Olahan,Sayur,KZGPI-1990,Utama
391,DP009,"Daun talas, rebus",91.6,27,1.3,0.2,5.9,1.6,1,119,41,1.4,3,519.4,0.5,0.5,-,4641,2682,-,0.6,1.9,7,100,Olahan,Sayur,KZGPI-1990,Utama
392,DP010,"Daun ubi merah, kukus",82.5,56,3.1,0.3,13,1.5,1.1,78,52,4.3,28,472.8,0.1,0.4,-,5277,5397,-,0.2,1.1,14,100,Olahan,Sayur,KZGPI-1990,Utama
393,DP011,"Kacang panjang, kukus",88.2,39,3,0.6,7.6,1.7,0.6,100,91,1.2,28,199,0.11,0.5,-,131,205,0.02,0.1,0.3,20,100,Olahan,Sayur,KZGPI-1990,Utama
394,DP012,"Kacang panjang, rebus",90.9,30,2.3,0.4,5.8,1.4,0.6,71,68,0.8,24,114.5,0.1,0.4,-,128,162,-,0.07,0.2,15,100,Olahan,Sayur,KZGPI-1990,Utama
395,DP013,"Kangkung, kukus",90.4,30,3.2,0.7,4.7,1.8,1,70,49,4.4,45,184.9,0.1,0.4,-,2370,5837,0.03,0.28,1.4,11,100,Olahan,Sayur,KZGPI-1990,Utama
396,DP014,"Kangkung, rebus",93,22,2.5,0.6,3.1,1.2,0.8,50,51,3.5,31,98,0.1,0.3,-,2370,4325,0.01,0.22,1.2,13,100,Olahan,Sayur,KZGPI-1990,Utama
397,DP015,"Paria putih, kukus",95,16,0.8,0.2,3.4,1.2,0.6,16,33,0.5,4,236,-,0.7,-,187,65,0.15,0.04,0.3,35,100,Olahan,Sayur,KZGPI-1990,Utama
398,DP016,"Selada, rebus",93.5,19,2.7,0.2,2.9,0.7,0.7,83,74,1.4,24,160.7,0.05,0.3,-,2499,3700,0.08,0.2,0.6,27,100,Olahan,Sayur,KZGPI-1990,Utama
399,DP017,"Taoge, goreng",79.2,88,3.2,2.1,14,0.7,1.5,168,50,5.7,-,-,-,-,2,-,613,0.05,-,-,-,100,Olahan,Sayur,KZGPI-1990,Utama
400,DP018,"Taoge, seduh",91.9,28,3,0.8,4,1,0.3,52,73,0.5,18,58.3,0.19,0.4,-,46,18,0.1,-,0.9,2,87,Olahan,Sayur,KZGPI-1990,Utama
401,DP019,"Terung panjang, kukus",92.7,23,1.8,0.1,4.9,0.4,0.5,40,13,0.5,9,57,67.1,0.2,-,99,20,-,0.07,0.7,1,100,Olahan,Sayur,KZGPI-1990,Utama
402,DP020,"Wortel, rebus",92.1,28,0.7,0.5,6.3,0.8,0.4,46,28,0.6,41,117.3,0.1,0.2,-,3824,5396,0.01,0.03,0.7,12,100,Olahan,Sayur,KZGPI-1990,Utama
403,DP021,"Wortel, kukus",89.5,37,1,0.6,8.3,1.1,0.6,44,30,0.6,43,122.5,0.11,0.3,-,3994,7150,0.02,0.03,0.8,14,100,Olahan,Sayur,KZGPI-1990,Utama
404,DP022,"Asinan Bogor, sayuran",78,98,3.9,2.6,14.8,0.5,0.7,314,17,1.2,483,-,-,-,10,-,146,0.28,-,-,5,100,Olahan,Sayur,KZGMS-1993,Snack
405,DP023,"Anyang, sayur",76.9,126,3.4,7.9,10.3,5.4,1.5,180,1,2.9,290,181,0.3,1.2,-,3263,-,0.2,-,-,-,100,Olahan,Sayur,KZGMI-2001,Utama
406,DP024,"Ares, sayur",77.7,113,0.9,7.2,11.2,4.7,3,63,5,1.5,1413,1030,0.7,3.8,-,6,-,0.1,-,0.5,-,100,Olahan,Sayur,KZGMI-2001,Utama
407,DP025,Arwan sirsir,59,277,2.4,25,10.7,4.6,2.9,120,40,2.4,240,320,0.2,0.9,-,1578,-,0.1,0.2,-,11,100,Olahan,Sayur,KZGMI-2001,Utama
408,DP026,Beberuk,89.1,65,1.1,5.2,3.5,3.1,1.1,179,72,8.3,53,427,0.4,0.2,-,44,-,0.3,-,4.4,-,100,Olahan,Sayur,KZGMI-2001,Utama
409,DP027,Botok lamtoro,63.9,186,11.7,9.7,13,2.1,2.2,771,322,26,-,-,-,-,18,-,179,0.27,-,-,2,100,Olahan,Sayur,KZGPI-1990,Utama
410,DP028,Buntil daun talas,74.5,141,4.4,10.2,8,1.8,3,149,121,14.5,-,-,-,-,13,-,8610,0.25,-,-,1,100,Olahan,Sayur,KZGPI-1990,Utama
411,DP029,Cammetutu,79.6,102,3.2,6,8.7,4.3,2.5,41,93,0.5,443,518,0.3,0.7,-,1123,-,0.3,0.4,0.4,19,100,Olahan,Sayur,KZGMI-2001,Utama
412,DP030,"Cap cai, sayur",82.7,97,5.8,6.3,4.2,0.6,1,287,89,1.8,405,-,-,-,45,-,1640,0.21,-,-,1,100,Olahan,Sayur,KZGMS-1993,Utama
413,DP031,Gado-gado,68.5,137,6.1,3.2,21,1.1,1.5,301,135,7.5,-,-,-,-,3,-,5929,0.1,-,-,1,100,Olahan,Sayur,KZGPI-1990,Utama
414,DP032,"Gudeg, sayur",69.2,160,3.3,9.2,16,2.3,2.1,62,55,12.8,-,-,-,-,-,-,166,0.15,-,-,-,100,Olahan,Sayur,KZGPI-1990,Utama
415,DP033,Gulai pakis,76.1,143,4,11.4,6,1.4,2.6,548,124,1.7,-,-,-,-,11,-,9802,0.35,-,-,1,100,Olahan,Sayur,KZGPI-1990,Utama
416,DP034,Gulai pliek,71.9,176,7.3,14.9,3.2,-,2.7,39,54,1.4,257,285,0.3,0.6,-,-,-,-,-,-,-,100,Olahan,Sayur,KZGMI-2001,Utama
417,DP035,Kadada katembe,80,110,4.5,6.9,7.1,3.9,1.5,26,77,-,178,131,0.2,0.7,-,46,-,0.1,-,3.7,23,100,Olahan,Sayur,KZGMI-2001,Utama
419,DP037,"Karedok, sayur",79,92,2.2,3.3,14.1,1.4,1.4,174,85,2.4,-,-,-,-,-,-,1,0.08,-,-,3,100,Olahan,Sayur,KZGPI-1990,Utama
420,DP038,Keripik bayam,2.3,586,4.9,40.6,50.2,0.5,1.9,236,117,3.6,-,-,-,-,-,-,4544,0.16,-,-,-,100,Olahan,Sayur,KZGPI-1990,Snack
422,DP040,Lema/Rebung asam,96.3,15,1,0.4,1.9,-,0.4,17,230,2.9,3,156,0.1,0.7,-,-,-,0.3,-,-,-,100,Olahan,Sayur,KZGMI-2001,Utama
424,DP042,Olah-olah,83.9,9,2.1,6,7.1,4.4,0.9,26,3,1.2,289,266,0.3,0.6,-,36,-,0.2,0.1,0.4,-,100,Olahan,Sayur,KZGMI-2001,Utama
426,DP044,Pelecing kangkung,83.8,75,2.5,2.8,10,5.4,0.9,36,3,2.1,408,381,0.1,0.4,-,870,-,0.7,-,0.2,12,100,Olahan,Sayur,KZGMI-2001,Utama
428,DP046,Rujak cingur,70.1,153,11.3,8.4,8,1.4,1.4,256,143,4.4,-,-,-,-,18,-,2880,0.16,-,-,2,100,Olahan,Sayur,KZGPI-1990,Utama
429,DP047,Sayur asem,93.2,29,0.7,0.6,5,0.6,0.8,40,61,3.1,-,-,-,-,14,-,2075,0.1,-,-,0.3,100,Olahan,Sayur,KZGPI-1990,Utama
430,DP048,Sayur bunga pepaya,83.4,49,1.7,0.3,9.8,2.7,2.1,220,220,1.3,90,350,0.1,0.1,-,372,-,-,0.1,-,-,100,Olahan,Sayur,KZGMI-2001,Utama
431,DP049,Sayur garu,70.8,178,2.6,13.9,10.6,8.4,2.1,30,130,0.9,20,120,0.1,0.3,-,-,-,0.2,0.1,-,9,100,Olahan,Sayur,KZGMI-2001,Utama
432,DP050,Sayur kohu-kohu,72.8,133,7.3,6.6,11.2,1.2,2.1,40,120,0.2,20,50,0.1,0.3,-,944,-,0.2,0.2,-,9,100,Olahan,Sayur,KZGMI-2001,Utama
433,DP051,Sayur lilin-terubuk,90.4,36,2.7,0.7,4.8,1.4,1.4,10,90,0.1,30,44,0.2,1,-,-,-,0.3,0.2,-,18,100,Olahan,Sayur,KZGMI-2001,Utama
435,DP053,Sayur sop,92.7,27,1.3,2,1,0.3,2.7,168,57,1.8,-,-,-,-,20,-,2569,0.1,-,-,0.2,100,Olahan,Sayur,KZGPI-1990,Utama
436,DP054,Sayur umbut kelapa,85.5,67,5.2,2.9,5.1,1.4,1.3,48,81,3.2,313,108,0.2,1.1,-,21,-,0.2,-,-,5,100,Olahan,Sayur,KZGMI-2001,Utama
437,DP055,Sayur umbut rotan,87.6,57,5.4,2.6,3.1,1.6,1.3,184,135,1.2,256,81,0.2,0.9,-,18,-,0.2,-,-,6,100,Olahan,Sayur,KZGMI-2001,Utama
438,DP056,Shabu-shabu,87.1,88,3.2,8,0.8,0.9,0.9,217,48,2.9,514,-,-,-,82,-,2000,0.2,-,-,-,100,Olahan,Sayur,KZGMS-1993,Utama
439,DP057,Semur jengkol,52.7,212,6,10,29.1,-,2.2,77,99,1,-,-,-,-,-,-,81,0.14,-,-,4,100,Olahan,Sayur,KZGMS-1993,Utama
441,DP059,Tumis bayam bersantan,91.2,48,1.4,4.2,2.6,0.5,0.6,129,27,0.8,-,-,-,-,-,-,2988,0.01,-,-,22,100,Olahan,Sayur,KZGPI-1990,Utama
442,DP060,Waluh balamak,89.4,45,0.8,0.9,8.1,7.9,1,25,25,0.5,61,15,-,0.2,-,1241,-,0.2,-,0.1,2,100,Olahan,Sayur,KZGMI-2001,Utama
443,DP061,Woku ubi,73,143,3.1,7.8,15,7,1.1,195,91,2.8,353,256,0.3,1,-,1519,-,0.1,-,-,15,100,Olahan,Sayur,KZGMI-2001,Utama
447,DR004,"Andewi, segar",91.8,226,1.6,0.2,5.3,4.1,1.1,33,66,1,29,414.6,0.13,1,-,1717,-,0.14,0.09,0.5,10,80,Tunggal,Sayur,DABM-1964,Snack
482,DR039,"Daun kemangi, segar",85,43,5.5,0.3,7.5,8.4,1.7,35,106,1,10,457.1,-,-,-,1282,1017,0.06,0.1,1.2,30,65,Tunggal,Sayur,DABM-1964,Snack
552,DR109,"Ketimun, segar",97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2,57.1,0.02,0.1,-,18,314,0.01,0.02,0.1,1,55,Tunggal,Sayur,KZGPI-1990,Snack
553,DR110,"Ketimun krai, segar",96.8,10,0.5,0.2,2,0.6,0.5,20,98,1,10,82.1,0.03,0.1,-,19,21,0.02,0.03,0.1,3,82,Tunggal,Sayur,KZGPI-1990,Snack
554,DR111,"Ketimun madura, segar",97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2,78.9,0.02,0.1,-,25,-,0.02,0.02,0.1,5,89,Tunggal,Sayur,KZGPI-1990,Snack
573,DR130,"Nangka muda, segar",85.4,57,2,0.4,11.3,8.3,0.9,45,29,0.5,1,246.5,0.04,0.1,-,21,25,0.07,0.06,0.7,9,80,Tunggal,Sayur,DABM-1964,Snack
576,DR133,"Pepaya muda, segar",92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22,211.2,0.01,-,-,-,50,0.02,0.03,0.3,19,65,Tunggal,Sayur,DABM-1964,Snack
577,DR134,"Petai, segar",77.2,92,5.4,1.1,15.2,2,1.1,14,170,1.6,55,221,0.2,0.8,-,114,-,0.8,0.1,6.1,34,36,Tunggal,Sayur,KZGMI-2001,Snack
578,DR135,"Peterseli, segar",83.9,53,3.7,1,9,-,2.4,193,84,4.3,18,1125.6,0.2,1.4,-,2940,8230,0.11,0.29,0.7,193,95,Tunggal,Sayur,DABM-1964,Snack
588,DR145,"Selada, segar",94.8,18,1.2,0.2,2.9,1.8,0.9,22,25,0.5,19,186.4,0.03,0.2,-,1526,540,0.04,0.13,0.4,8,69,Tunggal,Sayur,DABM-1964,Snack
590,DR147,"Seledri, segar",93,23,1,0.1,4.6,2,1.3,50,40,1,64,258.8,0.08,0.4,-,63,130,0.03,0.07,0.4,11,63,Tunggal,Sayur,DABM-1964,Snack
603,DR160,"Tomat, air (sari), segar",94,20,1,0.2,3.5,0.4,1.3,7,15,0.4,10,225.2,0.06,0.1,-,266,600,0.05,0.03,0.7,10,100,Tunggal,Sayur,DABM-1964,Snack
604,DR161,"Tomat merah, segar",92.9,24,1.3,0.5,4.7,-,0.6,8,77,0.6,10,164.9,0.14,0.2,-,575,2083,0.06,0.07,0.4,34,100,Tunggal,Sayur,KZGPI-1990,Snack
605,DR162,"Tomat muda, segar",93,24,2,0.7,3.3,1.8,2,5,27,0.5,10,210,0.07,0.2,-,384,320,0.07,0.04,0.7,30,95,Tunggal,Sayur,DABM-1964,Snack
609,DR166,"Wortel, segar",89.9,36,1,0.6,7.9,1,0.6,45,74,1,70,245,0.06,0.3,-,3784,7125,0.04,0.04,1,18,80,Tunggal,Sayur,KZGPI-1990,Snack
610,EP001,Barongko,66.7,159,3.1,5.8,23.5,-,0.7,35,65,1.2,46,78,0.3,0.6,-,-,-,-,-,-,8,100,Olahan,Buah,KZGMI-2001,Snack
613,EP004,Keripik lampung,5,485,1.7,22.2,69.7,0.6,1.5,43,65,0.8,-,-,-,-,-,4,7330,0.41,-,-,-,100,Olahan,Buah,KZGPI-1990,Snack
614,EP005,Ledre pisang,3.6,405,4.8,5.1,84.9,0.4,1.6,59,124,2.6,-,-,-,-,-,-,-,0.05,-,-,-,100,Olahan,Buah,KZGPI-1990,Snack
615,EP006,Lempog durian,25.2,320,3.5,5.7,63.7,4.9,1.9,190,93,2.5,-,-,-,-,-,13,-,0.18,0.04,-,15,100,Olahan,Buah,KZGPI-1990,Snack
621,EP012,"Sale pisang, cilacap",27.1,295,2.3,2.1,66.9,1.3,1.7,47,97,2.8,-,-,-,-,-,10,-,0.22,0.03,-,42,100,Olahan,Buah,KZGPI-1990,Snack
625,ER001,"Alpukat, segar",84.3,85,0.9,6.5,7.7,-,0.6,10,20,0.9,2,278,0.2,0.4,-,189,180,0.05,0.08,1,13,61,Tunggal,Buah,DABM-1964,Snack
626,ER002,"Anggur hutan, segar",92.3,30,0.5,0.2,6.8,1.2,0.2,39,12,1.1,-,-,-,-,-,-,1,0.01,-,-,3,100,Tunggal,Buah,KZGPI-1990,Snack
627,ER003,"Apel malang, segar",85.9,57,0.5,0.4,12.8,0.8,0.3,9,18,0.6,4,175.4,110.16,-,-,26,2240,0.05,0.03,0.1,5,88,Tunggal,Buah,KZGPI-1990,Snack
628,ER004,"Apel, segar",84.1,58,0.3,0.4,14.9,2.6,0.3,6,10,0.3,2,130,124.2,0.3,-,30,90,0.04,0.03,0.1,5,88,Tunggal,Buah,DABM-1964,Snack
629,ER005,"Arbai, segar",89.9,37,0.8,0.5,8.3,-,0.5,28,27,0.8,2,43,63.52,18.9,-,2,60,0.03,-,0.1,60,96,Tunggal,Buah,DABM-1964,Snack
630,ER006,"Belimbing, segar",90,36,0.4,0.4,8.8,3.3,0.4,4,12,1.1,4,130,-,0.1,-,29,170,0.03,-,-,35,86,Tunggal,Buah,DABM-1964,Snack
631,ER007,"Biwah, segar",87.1,51,0.3,0.1,12.1,0.7,0.5,220,14,0.8,1,258.6,0.04,0.1,-,-,12256,0.1,0.02,-,4,66,Tunggal,Buah,KZGPI-1990,Snack
632,ER008,"Buah atung, segar",92,23,0.8,0.2,5.2,-,1.8,30,50,4.6,-,-,-,-,-,-,-,0.29,-,-,38,80,Tunggal,Buah,DABM-1964,Snack
633,ER009,"Buah kelenting, segar",73.9,110,1.4,2.1,21.4,-,1.2,8,102,1.1,2,-,0.3,0.9,-,-,-,0.2,0.1,-,6,77,Tunggal,Buah,KZGMI-2001,Snack
634,ER010,"Buah kom, segar",33.7,264,4,1.1,59.6,9,1.7,306,92,0.8,-,-,-,-,-,-,400,0.11,-,-,9,100,Tunggal,Buah,KZGPI-1990,Snack
635,ER011,"Buah mentega (Bisbul), segar",89,39,0.7,0.2,9.7,2,0.4,43,17,0.8,1,90,0.06,0.1,-,141,55,0.02,0.01,0.1,33,50,Tunggal,Buah,DABM-1964,Snack
636,ER012,"Buah Naga Merah, segar",85.7,71,1.7,3.1,9.1,3.2,0.4,13,14,0.4,128,128,-,0.4,-,-,-,0.5,0.3,0.5,1,67,Tunggal,Buah,BKP,Snack
637,ER013,"Buah Naga Putih, segar",86.6,56,0.8,1,10.9,3.2,0.6,13,27,0.5,231,231,-,0.4,-,-,-,0.02,0.5,0.9,1,74,Tunggal,Buah,BKP,Snack
